species,group,u_mean,gen_time_yr,u_per_year
Acrocephalus_arundinaceus,reptiles,7.16E-09,4.2,1.70E-09
Acyrthosiphon_pisum,arthropods,2.70E-10,0.041,6.59E-09
Ailurus_fulgens,mammals,1.30E-08,10,1.30E-09
Amphilophus,fish,5.16E-08,1.5,3.44E-08
Amphiprion_ocellaris,fish,7.36E-09,1,7.36E-09
Anopheles_coluzzii,arthropods,1.00E-09,0.08,1.25E-08
Anopheles_gambiae,arthropods,2.57E-09,0.06,4.28E-08
Anopheles_stephensi,arthropods,1.36E-09,0.05,2.72E-08
Aotus_nancymaae,primates,8.14E-09,8.35,9.75E-10
Apis_mellifera,arthropods,3.40E-09,0.08,4.25E-08
Aptenodytes_forsteri,reptiles,1.41E-08,22.4,6.29E-10
Ara_glaucogularis,reptiles,1.00E-08,8.1,1.23E-09
Arabidopsis_thaliana,plants,6.90E-09,0.12,7.57E-08
Arctocephalus_gazella,mammals,6.78E-09,9.16,7.40E-10
Balaena_mysticetus,mammals,1.20E-08,52,2.31E-10
Balaenoptera_musculus,mammals,1.24E-08,31,4.00E-10
Balaenoptera_physalus,mammals,8.80E-09,26,3.38E-10
Bathycoccus_prasinos,mammals,3.02E-10,0.00442,6.83E-08
Betta_splendens,fish,4.36E-09,0.5,8.72E-09
Bombus_terrestris,arthropods,3.58E-09,0.1,3.58E-08
Bombyx_mori,arthropods,4.10E-09,0.16,2.56E-08
Bos_taurus,mammals,1.17E-08,6,1.95E-09
Brassica_rapa,plants,9.10E-09,1,9.10E-09
Bubo_scandiacus,reptiles,9.79E-10,7.77,1.26E-10
Caenorhabditis_briggsae,nematodes,1.33E-09,0.164,8.11E-09
Caenorhabditis_elegans,nematodes,4.78E-09,0.008,5.97E-07
Caenorhabditis_remanei,nematodes,2.96E-09,0.0066,4.48E-07
Callithrix_jacchus,primates,4.30E-09,5.91,7.28E-10
Canis_lupus,mammals,4.50E-09,7.9,5.70E-10
Canis_lupus_familiaris,mammals,8.68E-09,2,4.34E-09
Capra_hircus,mammals,5.25E-09,2,2.63E-09
Cavia_aperea,mammals,8.72E-09,1.7,5.13E-09
Ceratotherium_simum_simum,mammals,9.56E-09,18.81,5.08E-10
Cervus_elaphus_yarkandensis,mammals,6.71E-09,6.3,1.07E-09
Cervus_nippon,mammals,4.70E-09,9.59,4.90E-10
Chauna_torquata,reptiles,7.06E-09,5,1.41E-09
Chironomus_riparius,arthropods,3.53E-09,0.0576,6.12E-08
Chlamydomonas_incerta,weird stuff,1.16E-09,0.00105,1.10E-06
Chlamydomonas_reinhardtii,weird stuff,8.86E-10,0.0013,6.82E-07
Chlorocebus_sabaeus,primates,9.40E-09,14.89,6.31E-10
Chrysemys_picta,reptiles,4.61E-09,11,4.19E-10
Clupea_harengus,fish,2.00E-09,6,3.33E-10
Coleonyx_brevis,reptiles,6.33E-09,2,3.17E-09
Coturnix_japonica,reptiles,5.67E-09,2.8,2.03E-09
Cyanistes_caeruleus,reptiles,5.19E-09,4.4,1.18E-09
Cynoglossus_semilaevis,fish,9.13E-09,2,4.57E-09
Cyprinus_carpio,fish,5.62E-09,3,1.87E-09
Daphnia_galeata,arthropods,7.45E-10,0.0556,1.34E-08
Daphnia_magna,arthropods,8.69E-09,0.04,2.17E-07
Daphnia_pulex,arthropods,2.05E-09,0.027,7.59E-08
Dictyostelium_discoideum,weird stuff,2.49E-11,0.0019,1.31E-08
Drosophila_melanogaster,arthropods,5.64E-09,0.055,1.03E-07
Drosophila_pseudoobscura,arthropods,3.50E-09,0.074,4.73E-08
Drosophila_simulans,arthropods,4.51E-09,0.068,6.63E-08
Ectocarpus_siliculosus,weird stuff,4.07E-10,0.164,2.48E-09
Elephas_maximus,mammals,5.30E-09,22,2.41E-10
Emiliania_huxleyi,weird stuff,5.55E-10,0.0027,2.06E-07
Eublepharis_macularius,reptiles,5.74E-09,2,2.87E-09
Felis_catus,mammals,8.17E-09,3,2.72E-09
Ficedula_albicollis,reptiles,4.60E-09,3.9,1.18E-09
Fukomys_damarensis,mammals,7.41E-09,5.54,1.34E-09
Gallus_gallus_domesticus,reptiles,3.62E-09,2,1.81E-09
Giraffa_camelopardalis,mammals,1.00E-08,14.39,6.95E-10
Gorilla_gorilla,primates,1.13E-08,22,5.11E-10
Gyps_fulvus,reptiles,2.61E-09,15.03,1.74E-10
